water req,month,Min Temp,Max Temp,Humidity,Wind,Sun,Rad,rain,altitude,latitude,crop,soil,city
46.8,March,16,32,35,192,8,19.2,5,431,26.91,wheat,red sandy,jaipur
181.3,April,22,37,26,240,9,22.6,4,431,26.91,wheat,red sandy,jaipur
327.5,May,26,41,27,288,9,23.4,18,431,26.91,wheat,red sandy,jaipur
187.5,June,27,39,46,312,7,20.6,51,431,26.91,wheat,red sandy,jaipur
0,July,25,34,73,264,5,17.5,213,431,26.91,wheat,red sandy,jaipur
51.1,March,24,34,70,216,9.5,23.5,2,7,13.08,wheat,red sandy,chennai
143.12,April,26,36,70,264,9.7,24.5,10,7,13.08,wheat,red sandy,chennai
236.6,May,27,39,63,312,9,23.2,32,7,13.08,wheat,red sandy,chennai
141.5,June,27,38,61,312,6.8,19.6,56,7,13.08,wheat,red sandy,chennai
0,July,26,36,64,288,6,18.4,111,7,13.08,wheat,red sandy,chennai
53.6,March,22.5,37.5,30,121,9.7,23.5,1.8,281,15.8,wheat,red sandy,kurnool
149.5,April,26,39.3,34,138,9.2,23.6,10,281,15.8,wheat,red sandy,kurnool
247.5,May,27.2,40,37,225,8.3,22.2,44,281,15.8,wheat,red sandy,kurnool
140.7,June,25,35.6,54,354,5.8,18.3,71.6,281,15.8,wheat,red sandy,kurnool
0,July,23.8,32.5,64,363,4.4,16.2,96,281,15.8,wheat,red sandy,kurnool
23.7,March,15,29,57,168,11,22.9,20,216,28.7,wheat,red sandy,delhi
108.9,April,21,36,41,168,10,23.8,40,216,28.7,wheat,red sandy,delhi
220.8,May,26,39,42,192,8,21.9,30,216,28.7,wheat,red sandy,delhi
117.9,June,28,39,54,216,7,20.6,80,216,28.7,wheat,red sandy,delhi
0,July,27,35,73,168,5,17.5,170,216,28.7,wheat,red sandy,delhi
16.7,March,22,34,63,120,8.4,20.5,28,9,22.7,wheat,red sandy,kolkata
84.4,April,25,36,70,192,9.2,23.3,51,9,22.7,wheat,red sandy,kolkata
96.6,May,26,36,73,192,8.4,22.6,126,9,22.7,wheat,red sandy,kolkata
5.4,June,27,34,80,168,4.5,16.7,301,9,22.7,wheat,red sandy,kolkata
0,July,26,33,84,144,4.1,16.1,375,9,22.7,wheat,red sandy,kolkata
39,March,21,32,62,168,9,22,10,14,19.07,wheat,red sandy,mumbai
146.1,April,24,33,28,192,10,24.7,10,14,19.07,wheat,red sandy,mumbai
200.1,May,27,33,69,240,10,25,10,14,19.07,wheat,red sandy,mumbai
10.6,June,26,32,77,288,5,17.3,560,14,19.07,wheat,red sandy,mumbai
0,July,25,30,83,336,2,12.8,640,14,19.07,wheat,red sandy,mumbai
