"hour","N2O_flux","norm_flux","dataset"
0.048,1.5401,0.085111781,"N2O_117"
1.1106,1.49733,0.021281676,"N2O_117"
2.7044,1.48307,0,"N2O_117"
4.2982,1.51158,0.042548428,"N2O_117"
5.3165,1.56861,0.12766021,"N2O_117"
6.2905,1.63276,0.223397905,"N2O_117"
7.3087,1.71118,0.3404322,"N2O_117"
8.2827,1.79671,0.468077486,"N2O_117"
9.2124,1.88225,0.595737695,"N2O_117"
10.2307,1.96066,0.712757067,"N2O_117"
11.2047,2.03195,0.819150524,"N2O_117"
12.223,2.0961,0.914888219,"N2O_117"
13.2855,2.13174,0.968077486,"N2O_117"
14.3923,2.15313,1,"N2O_117"
15.4549,2.13887,0.978718324,"N2O_117"
16.5174,2.10323,0.925529057,"N2O_117"
17.5357,2.0462,0.840417276,"N2O_117"
18.5539,1.97492,0.734038743,"N2O_117"
19.5279,1.89651,0.617019371,"N2O_117"
20.4134,1.8181,0.5,"N2O_117"
21.3431,1.73256,0.37233979,"N2O_117"
22.3171,1.65415,0.255320419,"N2O_117"
23.2468,1.58999,0.1595678,"N2O_117"
