"x","Curve1"
0.0586,0.6537
2.0707,-1.1041
4.3049,-2.6207
4.8997,-2.7129
5.5683,-2.6844
6.3805,-1.1452
6.7486,-0.1489
7.1164,0.9381
7.2631,1.5119
7.9298,2.1146
8.223,3.2925
8.3694,3.9569
9.4806,4.9514
10.1471,5.6146
10.6646,6.399
11.0299,8.2415
11.4692,10.1744
11.9916,9.478
12.4403,8.6308
12.8898,7.5417
13.4874,6.6034
14.1594,5.6347
14.3807,6.1176
14.7485,7.2046
15.3411,7.7471
16.3083,7.382
16.6069,6.9884
16.683,6.4443
16.9099,5.2651
17.5023,5.868
18.1005,4.7484
18.325,4.2643
18.8499,2.8729
19.9694,1.3893
20.865,0.2084
22.2786,-0.3089
23.4673,-0.2816
23.9126,-0.1316
