"hour","N2O_flux","norm_flux","dataset"
0,51.43,0.139421503828284,"N2O_162"
0.9939,51.394,0.13824357044696,"N2O_162"
1.9864,53.524,0.20793796217525,"N2O_162"
2.9795,49.537,0.0774818401937047,"N2O_162"
4.0026,51.118,0.129212747856816,"N2O_162"
5.0008,47.169,0,"N2O_162"
5.9871,49.248,0.0680256527714155,"N2O_162"
6.9973,48.758,0.0519926706367386,"N2O_162"
8.0095,51.46,0.140403114979386,"N2O_162"
8.9871,57.204,0.328348930043845,"N2O_162"
9.9734,59.09,0.3900595510765,"N2O_162"
10.9932,68.171,0.687193246515281,"N2O_162"
12.0197,70.203,0.753681041816635,"N2O_162"
12.9939,77.731,1,"N2O_162"
13.9965,73.137,0.849682612394477,"N2O_162"
15,72.675,0.834565800667496,"N2O_162"
15.9992,69.933,0.744846541456711,"N2O_162"
16.9965,65.91,0.613212486093842,"N2O_162"
18,62.641,0.506249590995354,"N2O_162"
18.9939,63.134,0.522380734245141,"N2O_162"
20.0095,61.566,0.471075191414175,"N2O_162"
21.0163,55.238,0.264020679274917,"N2O_162"
21.9992,56.958,0.320299718604803,"N2O_162"
23.0095,52.844,0.185688109416923,"N2O_162"
