"x","Curve1"
0.0444,22.8025
0.3863,22.7194
0.7431,22.6258
1.0702,22.5427
1.5013,22.4492
1.8432,22.3557
2.1852,22.2725
2.542,22.1998
2.8839,22.1375
3.2407,22.0647
3.5826,22.0024
3.9394,21.9296
4.2813,21.8569
4.6381,21.7945
4.98,21.7218
5.3368,21.6906
5.6936,21.6491
6.0355,21.6283
6.3477,21.7322
6.6748,21.8361
7.0019,21.94
7.3628,22.1773
7.8348,22.5897
8.0276,22.6986
8.2358,22.9168
8.4439,23.135
8.6371,23.3532
8.8453,23.561
9.0385,23.7792
9.2467,23.9975
9.4251,24.2157
9.6183,24.4339
9.8116,24.6625
10.0049,24.8807
10.1981,25.0989
10.3914,25.3171
10.5846,25.5457
10.7779,25.7639
10.9563,25.9822
11.1793,26.19
11.4023,26.3978
11.6253,26.5952
11.8483,26.8031
12.0861,27.0005
12.3686,27.146
12.6659,27.3018
12.9484,27.4577
13.2903,27.5616
13.6322,27.6343
13.9593,27.7175
14.3161,27.7071
14.658,27.6655
15.0445,27.6136
15.3567,27.4681
15.6541,27.3226
15.9514,27.1771
16.2041,26.9901
16.4484,26.7629
16.9772,26.377
17.2002,26.1692
17.4231,25.9614
17.6461,25.7639
17.7948,25.6393
18.0178,25.4314
18.2705,25.2444
18.5084,25.0781
18.7611,24.9119
19.0287,24.7248
19.3112,24.5794
19.5936,24.4131
19.891,24.2572
20.1883,24.1222
20.4856,23.9767
20.7978,23.8416
21.11,23.7065
21.4222,23.6026
21.7492,23.4987
22.0614,23.3844
