"hour","N2O_flux","norm_flux","dataset"
0,-0.2472,0.368769623233909,"N2O_168"
0.3949,0.2269,0.601354003139717,"N2O_168"
1.0067,-0.2607,0.362146781789639,"N2O_168"
1.5089,0.2743,0.624607535321821,"N2O_168"
2.0722,-0.7483,0.12293956043956,"N2O_168"
2.3665,-0.3352,0.325598508634223,"N2O_168"
2.9388,-0.7009,0.146193092621664,"N2O_168"
3.4417,-0.1185,0.43190737833595,"N2O_168"
3.9657,-0.9989,0,"N2O_168"
4.4656,-0.6264,0.18274136577708,"N2O_168"
4.9625,-0.4774,0.255837912087912,"N2O_168"
5.4978,-0.5316,0.229248430141287,"N2O_168"
5.9515,-0.5316,0.229248430141287,"N2O_168"
6.4902,-0.3352,0.325598508634223,"N2O_168"
7.0383,0.5384,0.754169937205652,"N2O_168"
7.3598,-0.0711,0.455160910518053,"N2O_168"
8.0594,-0.1795,0.401981946624804,"N2O_168"
8.461,-0.965,0.0166306907378336,"N2O_168"
8.999,-0.8228,0.0863912872841444,"N2O_168"
9.4511,-0.9312,0.0332123233908948,"N2O_168"
9.9226,0.3691,0.671114599686028,"N2O_168"
10.3684,-0.1998,0.392023155416013,"N2O_168"
10.9922,0.1795,0.578100470957614,"N2O_168"
11.6082,-0.0034,0.488373233908948,"N2O_168"
11.951,0.9379,0.950156985871271,"N2O_168"
12.5215,0.4368,0.704326923076923,"N2O_168"
13.1006,0.5655,0.767464678178964,"N2O_168"
13.3852,0.2743,0.624607535321821,"N2O_168"
14.0833,0.0576,0.518298665620094,"N2O_168"
14.4601,0.4707,0.720957613814757,"N2O_168"
14.9071,-0.0102,0.485037284144427,"N2O_168"
15.4945,0.728,0.847184065934066,"N2O_168"
15.9006,0.2675,0.6212715855573,"N2O_168"
16.4473,1.0395,1,"N2O_168"
16.9364,0.6196,0.794005102040816,"N2O_168"
17.4246,0.1388,0.558133830455259,"N2O_168"
18.0011,0.0779,0.528257456828885,"N2O_168"
18.5021,0.5248,0.747498037676609,"N2O_168"
18.9852,-0.3284,0.328934458398744,"N2O_168"
19.4949,0.7551,0.860478806907378,"N2O_168"
19.9711,-0.6061,0.192700156985871,"N2O_168"
20.5853,-0.9176,0.0398842229199372,"N2O_168"
21.011,0.0508,0.514962715855573,"N2O_168"
21.4633,-0.044,0.468455651491366,"N2O_168"
21.9602,0.105,0.541552197802198,"N2O_168"
22.5024,0.5519,0.760792778649921,"N2O_168"
22.9409,-0.5519,0.219289638932496,"N2O_168"
23.6044,-0.281,0.352187990580848,"N2O_168"
