"hour","N2O_flux","norm_flux","dataset"
0.0338,1.4509,0.466678044,"N2O_126"
1.0817,1.6295,0.542879085,"N2O_126"
2.4676,1.8304,0.62859459,"N2O_126"
3.7521,1.9643,0.685724038,"N2O_126"
5.0366,1.875,0.647623517,"N2O_126"
6.2197,1.6741,0.561908013,"N2O_126"
6.9634,1.6741,0.561908013,"N2O_126"
7.8761,1.9866,0.695238502,"N2O_126"
8.4845,2.4107,0.876183975,"N2O_126"
9.093,2.6786,0.990485536,"N2O_126"
9.7352,2.7009,1,"N2O_126"
10.3099,2.2768,0.819054527,"N2O_126"
10.7155,1.6295,0.542879085,"N2O_126"
11.2225,0.9598,0.257146514,"N2O_126"
12.1315,0.3571,0,"N2O_126"
13.0817,0.7813,0.180988139,"N2O_126"
13.5211,1.25,0.380962539,"N2O_126"
13.9268,1.6071,0.533321956,"N2O_126"
14.6366,1.8973,0.657137981,"N2O_126"
15.6169,2.0536,0.723824558,"N2O_126"
16.6648,1.9866,0.695238502,"N2O_126"
17.5775,1.7634,0.600008533,"N2O_126"
18.1183,1.6295,0.542879085,"N2O_126"
18.4563,1.6071,0.533321956,"N2O_126"
19.2338,1.7634,0.600008533,"N2O_126"
19.8085,2.0536,0.723824558,"N2O_126"
20.5183,2.2768,0.819054527,"N2O_126"
21.4648,2.2991,0.828568991,"N2O_126"
22.1746,2.1429,0.761925079,"N2O_126"
23.0197,1.808,0.619037461,"N2O_126"
23.9662,1.4509,0.466678044,"N2O_126"
