"hour","N2O_flux","norm_flux","dataset"
0,-0.6398,0.0795817332161199,"N2O_167"
0.4578,-0.8118,0,"N2O_167"
0.9155,-0.6398,0.0795817332161199,"N2O_167"
1.3733,-0.5215,0.134317309026975,"N2O_167"
1.9619,-0.4677,0.159209734881784,"N2O_167"
2.3542,-0.328,0.223846758895109,"N2O_167"
2.8774,-0.6075,0.0945264424189145,"N2O_167"
3.4659,-0.543,0.124369592374959,"N2O_167"
3.9237,-0.629,0.0845787257668995,"N2O_167"
4.5123,-0.6183,0.0895294498681349,"N2O_167"
4.97,-0.4677,0.159209734881784,"N2O_167"
5.4932,-0.586,0.10447415907093,"N2O_167"
5.951,-0.5323,0.129320316476195,"N2O_167"
6.4741,-0.2097,0.278582334705964,"N2O_167"
6.9319,-0.586,0.10447415907093,"N2O_167"
7.455,-0.7903,0.00994771665201498,"N2O_167"
7.8474,-0.5323,0.129320316476195,"N2O_167"
8.436,-0.5753,0.109424883172165,"N2O_167"
8.8283,-0.4785,0.154212742331004,"N2O_167"
9.0245,-0.4785,0.154212742331004,"N2O_167"
9.4169,-0.1882,0.288530051357979,"N2O_167"
9.8747,-0.1774,0.293527043908759,"N2O_167"
10.5286,0.1022,0.422893628834498,"N2O_167"
10.921,0.2849,0.507426086151853,"N2O_167"
11.3787,0.4247,0.572109378614723,"N2O_167"
11.9019,0.8333,0.761162263452552,"N2O_167"
12.3597,0.8978,0.791005413408597,"N2O_167"
13.0136,0.9194,0.800999398510156,"N2O_167"
13.3406,1.2742,0.965159857493175,"N2O_167"
13.9292,1.3065,0.98010456669597,"N2O_167"
14.4523,1.3495,1,"N2O_167"
14.9101,1.2527,0.95521214084116,"N2O_167"
15.4986,1.0591,0.865636422523481,"N2O_167"
15.891,0.586,0.646740387729607,"N2O_167"
16.4796,0.6505,0.676583537685652,"N2O_167"
17.0027,0.8226,0.756211539351316,"N2O_167"
17.4605,0.5215,0.616897237773562,"N2O_167"
17.9837,-0.0054,0.373108777124879,"N2O_167"
18.3106,-0.1344,0.313422477212789,"N2O_167"
18.9646,-0.1667,0.298477768009994,"N2O_167"
19.4223,-0.3065,0.233794475547124,"N2O_167"
19.8801,-0.5108,0.13926803312821,"N2O_167"
20.2725,-0.371,0.203951325591079,"N2O_167"
20.7956,-0.4247,0.179105168185814,"N2O_167"
21.3842,-0.4892,0.149262018229769,"N2O_167"
21.7766,-0.3172,0.228843751445889,"N2O_167"
22.4305,-0.7151,0.0447415907092953,"N2O_167"
22.7575,-0.5215,0.134317309026975,"N2O_167"
23.4114,-0.6398,0.0795817332161199,"N2O_167"
