"x","Curve1"
0.0192,1.6735
2.1755,0.1317
2.6241,0.5536
3.5933,0.6128
5.0072,-0.0529
6.0507,-0.0241
7.1724,1.0609
8.2214,2.6893
8.522,3.4132
8.5253,4.3789
8.7513,5.1029
9.3558,7.5164
9.583,8.5723
9.6597,9.2361
9.8857,9.93
10.2566,9.4165
10.7084,10.7739
10.8549,10.0193
11.0845,11.7693
11.8314,12.2211
12.5776,12.4917
13.1013,13.0645
13.5502,13.5769
13.6228,13.0034
14.2174,12.4897
14.3632,11.5238
14.8819,10.648
16.146,9.7712
16.2916,8.7449
16.6596,7.3563
16.736,7.8994
18.1468,6.3283
19.4087,4.7877
20.001,3.6401
20.8923,2.7035
21.7869,2.7627
22.9771,2.0671
23.1246,1.6143
23.7181,0.7987
