"hour","N2O_flux","norm_flux","dataset"
0.091,997.67,0.130563247,"N2O_286"
1.0933,942.11,0.085710134,"N2O_286"
2.1408,893.43,0.046411186,"N2O_286"
3.0557,868.2,0.026043222,"N2O_286"
4.0882,835.94,0,"N2O_286"
5.1051,863.07,0.021901817,"N2O_286"
6.1654,871.35,0.02858619,"N2O_286"
7.0831,849.28,0.010769268,"N2O_286"
8.1411,954.59,0.095785131,"N2O_286"
9.1287,1009.24,0.139903609,"N2O_286"
10.0467,974.14,0.111567679,"N2O_286"
11.0886,1162,0.263225452,"N2O_286"
12.1059,1168.85,0.268755399,"N2O_286"
13.1578,1544.98,0.572401934,"N2O_286"
14.106,2074.65,1,"N2O_286"
15.1554,1932.32,0.885098207,"N2O_286"
16.113,2044.92,0.975999225,"N2O_286"
17.0956,1686.84,0.6869243,"N2O_286"
18.0564,1657.51,0.663246442,"N2O_286"
19.0906,1555.74,0.58108839,"N2O_286"
20.1136,1313.5,0.385530108,"N2O_286"
20.9472,1207.46,0.299924922,"N2O_286"
21.9668,1115.84,0.225960879,"N2O_286"
23.0571,1064.73,0.184700212,"N2O_286"
