"hour","N2O_flux","norm_flux","dataset"
0.1627,13.127,0.572046323235781,"N2O_284"
0.7432,50.635,1,"N2O_284"
1.2325,32.516,0.793268298248617,"N2O_284"
1.663,21.272,0.664978036396828,"N2O_284"
2.2198,13.154,0.572354384163386,"N2O_284"
2.7232,22.223,0.675828626846939,"N2O_284"
3.1685,39.416,0.871994979747846,"N2O_284"
3.6323,-27.765,0.105482343544983,"N2O_284"
4.2249,32.868,0.797284499971476,"N2O_284"
4.6478,6.936,0.501409093502196,"N2O_284"
5.2059,1.318,0.437309601232244,"N2O_284"
5.6551,26.011,0.719048434023618,"N2O_284"
6.2067,7.893,0.51232814193622,"N2O_284"
6.694,-13.975,0.262821609903588,"N2O_284"
7.2762,26.657,0.726419076958184,"N2O_284"
7.8463,44.165,0.92617947401449,"N2O_284"
8.272,23.545,0.690912202635632,"N2O_284"
8.7621,6.989,0.502013805693422,"N2O_284"
9.1991,8.245,0.516344343659079,"N2O_284"
9.6843,-17.686,0.220480346853785,"N2O_284"
10.1989,12.945,0.569969764390439,"N2O_284"
10.6303,3.263,0.459501397683838,"N2O_284"
11.2523,0.772,0.431079924696218,"N2O_284"
11.6769,-22.035,0.1708597181813,"N2O_284"
12.1876,1.096,0.434776655827486,"N2O_284"
12.6783,-14.21,0.26014033886702,"N2O_284"
13.1692,-29.204,0.0890638370699983,"N2O_284"
13.6016,-37.01,0,"N2O_284"
14.1665,-29.503,0.085652347538365,"N2O_284"
14.7261,-32.308,0.0536482400593302,"N2O_284"
15.1024,-27.928,0.103622568315363,"N2O_284"
15.7352,-9.795,0.310514005362542,"N2O_284"
16.2334,-10.726,0.299891608192139,"N2O_284"
16.6769,3.03,0.456842945975241,"N2O_284"
17.1676,-12.276,0.282206629014776,"N2O_284"
17.6857,24.918,0.706577671287581,"N2O_284"
18.1818,19.924,0.649597809344515,"N2O_284"
18.6834,25.556,0.713857036910263,"N2O_284"
19.1673,-2.875,0.38946888014148,"N2O_284"
19.7342,8.382,0.517907467625078,"N2O_284"
20.2261,-4.737,0.368224085800673,"N2O_284"
20.6037,2.143,0.446722574020195,"N2O_284"
21.1794,30.276,0.76771065092133,"N2O_284"
21.7294,9.033,0.525335158879571,"N2O_284"
22.167,11.539,0.553927776826972,"N2O_284"
22.6008,6.544,0.496936505219921,"N2O_284"
23.1698,21.864,0.671732557476182,"N2O_284"
23.6041,17.807,0.625443550687432,"N2O_284"
