"hour","N2O_flux","norm_flux","dataset"
0.208,56.532,0.108708842972567,"N2O_241"
2.182,54.976,0.0838629323284259,"N2O_241"
3.532,50.697,0.0155366780570371,"N2O_241"
5.299,49.724,0,"N2O_241"
6.753,53.809,0.0652284993453199,"N2O_241"
8.519,56.337,0.105595120237601,"N2O_241"
9.351,56.532,0.108708842972567,"N2O_241"
10.39,59.449,0.155286941525884,"N2O_241"
11.013,63.728,0.223613195797273,"N2O_241"
11.532,68.395,0.2981349599208,"N2O_241"
11.948,73.258,0.37578641458819,"N2O_241"
12.364,77.925,0.450308178711717,"N2O_241"
12.779,85.122,0.56522849934532,"N2O_241"
13.195,90.762,0.655286941525884,"N2O_241"
13.61,95.429,0.729808705649411,"N2O_241"
13.922,100.292,0.807460160316801,"N2O_241"
14.234,104.376,0.872672691853224,"N2O_241"
14.753,109.044,0.947210423785648,"N2O_241"
15.584,112.35,1,"N2O_241"
16.208,106.904,0.913039312745505,"N2O_241"
16.727,100.875,0.816769392903906,"N2O_241"
16.935,96.013,0.739133906045413,"N2O_241"
17.247,91.151,0.661498419186919,"N2O_241"
17.558,86.483,0.586960687254495,"N2O_241"
18.701,71.313,0.344729026283014,"N2O_241"
19.117,68.59,0.301248682655766,"N2O_241"
19.532,66.84,0.273305017085556,"N2O_241"
19.948,66.062,0.260882061763485,"N2O_241"
21.61,64.7,0.239133906045413,"N2O_241"
22.753,60.421,0.170807651774024,"N2O_241"
23.688,56.337,0.105595120237601,"N2O_241"
