"x","Curve1"
0.0538,20.9048
0.4815,20.8013
0.8913,20.715
1.3189,20.6287
1.7466,20.5252
2.1743,20.4217
2.5841,20.3354
3.0118,20.232
3.4395,20.1456
3.867,20.0765
4.2947,19.9902
4.7045,19.9211
5.1498,19.8691
5.5773,19.8514
6.0047,19.8338
6.414,19.9191
6.9123,20.0387
7.2857,20.2443
8.0995,20.8137
8.3696,21.0841
8.6715,21.3928
8.9734,21.7014
9.0267,21.7185
9.2751,22.0615
9.346,22.1644
9.63,22.4902
9.9141,22.7989
10.1803,23.1247
10.4643,23.4677
10.7483,23.7935
11.0323,24.1193
11.3878,24.3592
11.7611,24.5648
12.1524,24.736
12.5975,24.7698
13.007,24.8209
13.4344,24.8204
13.8797,24.7855
14.3072,24.7507
14.7347,24.6988
15.1624,24.6124
15.5901,24.4746
16.0002,24.3197
16.3746,24.1476
16.7491,23.9584
17.1236,23.7691
17.4804,23.5456
17.855,23.322
18.2296,23.1156
18.6041,22.9092
18.9965,22.7028
19.3888,22.4963
19.7812,22.3071
20.1735,22.1178
20.5656,21.98
21.1285,21.7798
21.5996,21.6012
22.0096,21.4634
22.4195,21.3257
22.8263,21.2057
