"hour","N2O_flux","norm_flux","dataset"
1.2219,0.0462,0.288632742948177,"N2O_151"
3.2316,0.0297,0.134008059225939,"N2O_151"
5.3006,0.0154,0,"N2O_151"
7.3104,0.0209,0.0515415612407459,"N2O_151"
8.4534,0.0616,0.432949114422266,"N2O_151"
10.4436,0.0748,0.556648861400056,"N2O_151"
12.5125,0.0572,0.391715865429669,"N2O_151"
14.5423,0.10341,0.824758691781464,"N2O_151"
16.5522,0.12211,1,"N2O_151"
18.6013,0.09021,0.701058944803673,"N2O_151"
20.6308,0.0572,0.391715865429669,"N2O_151"
22.6603,0.0539,0.360790928685222,"N2O_151"
23.9016,0.0198,0.0412332489925968,"N2O_151"
