"hour","N2O_flux","norm_flux","dataset"
1.94,55.908,0,"N2O_183"
3.378,64.477,0.20587175359777,"N2O_183"
4.713,73.047,0.411767532373928,"N2O_183"
6.15,81.616,0.617639285971698,"N2O_183"
8.087,82.84,0.647046104317325,"N2O_183"
11.252,88.553,0.784301948441967,"N2O_183"
13.297,94.266,0.92155779256661,"N2O_183"
15.746,97.531,1,"N2O_183"
17.884,97.123,0.990197727218125,"N2O_183"
20.627,91.002,0.843139610311606,"N2O_183"
21.94,82.432,0.637243831535449,"N2O_183"
22.245,82.024,0.627441558753574,"N2O_183"
23.354,73.047,0.411767532373928,"N2O_183"
