"x","Curve1"
0.1083,0.3758
0.4371,0.3014
0.9723,0.2336
1.5053,0.0102
2.0402,-0.0779
2.5352,-0.0643
3.0283,-0.193
3.4384,-0.3555
3.9744,-0.3623
4.5087,-0.491
4.9997,-0.7686
5.4936,-0.8431
6.1506,-1.0463
6.4792,-1.1411
6.9313,-1.2494
7.4668,-1.2901
7.9613,-1.3172
8.4974,-1.3172
8.9934,-1.2291
9.4897,-1.1275
10.0271,-1.026
10.5221,-1.0192
11.0212,-0.7077
11.4779,-0.4842
12.057,-0.3555
12.5136,-0.1321
13.0522,0.0508
13.5903,0.193
14.0054,0.3894
14.5025,0.5587
14.9166,0.6806
15.4963,0.8567
16.0341,0.9786
16.449,1.1614
17.1097,1.2291
17.4814,1.2698
18.0587,1.2698
18.5942,1.2291
19.048,1.2427
19.5408,1.0937
19.9915,0.8837
20.526,0.7686
20.9356,0.5655
21.5111,0.43
22.044,0.1998
22.5418,0.4165
23.034,0.2269
23.5271,0.0982
