"x","Curve1"
0.0649,25.0769
0.8757,25.0085
1.6541,24.906
2.4324,24.8034
3.2108,24.6325
3.9892,24.4615
4.7676,24.3248
5.5459,24.2564
6.3568,24.188
7.1676,24.1538
7.9459,24.2564
8.6595,24.5641
9.3405,24.906
9.6,25.0085
10.2811,25.453
10.9946,25.8974
11.7081,26.3077
12.3892,26.7179
12.6811,26.8889
13.3946,27.2308
14.1405,27.5385
14.8865,27.7436
15.6649,27.7778
16.5405,27.6752
17.2865,27.4359
18.0324,27.1282
18.7135,26.6838
19.4595,26.3761
20.2378,26.1368
21.0162,25.9316
21.7946,25.7607
22.5405,25.5556
