"x","Curve1"
0.0513,20.5678
0.4621,19.4215
0.9754,18.0943
1.1808,16.8268
1.3862,15.68
1.5915,14.5332
1.7969,13.326
2.0022,12.6623
2.2589,14.1122
2.567,15.2604
2.8237,16.7103
3.1317,18.0396
3.6451,19.3091
4.0045,20.0347
4.5692,18.768
4.9799,17.8633
5.5446,19.1329
5.75,20.3412
6.8281,20.6459
7.4955,21.4931
7.9576,21.9774
9.0871,22.2823
10.2679,22.225
11.1406,22.4689
12.3728,22.2909
13.3482,22.1123
14.2723,22.5979
15.7612,22.9037
17.3013,22.8474
18.7902,23.1532
19.6629,22.4309
19.817,22.0086
20.3304,21.8287
20.9978,22.6155
21.5112,23.2811
22.4353,23.9478
23,24.07
