data_code,max_hour,sec_max_hour,min_hour,sec_min_hour,cum_early,cum_late,cum_mid,cum_all,threshold,cum_early_percent,cum_late_percent,cum_mid_percent,first_condition_D,second_condition_D,third_condition_D,first_condition_N,second_condition_N,third_condition_N,daytime_peaking,nighttime_peaking
226,12.018,14.355,21.932,5.689,7.039405459,7.761417495,7.28138545,9.76818416,0.505433409,0.720646268,0.79456093,0.745418527,Y,Y,L,N,N,N,Y,N
227,12.738,14.7,6.165,3.089,5.552000147,6.453928196,6.258546523,6.943449894,0.535881749,0.799602537,0.929498779,0.901359788,Y,Y,L,N,N,N,Y,N
228,14.0389,13.0013,1.9838,22.0045,7.810632498,8.232270044,7.410123595,12.33319964,0.521473859,0.633301392,0.667488591,0.600827345,Y,Y,L,N,N,N,Y,N
229,2.5048,1.5073,8.5092,10.5065,2.596824321,2.962691114,1.771108764,10.13831676,0.521414946,0.256139592,0.29222712,0.174694558,N,Y,N,Y,Y,Y,N,Y
230,13.5342,4.4932,19.5068,7.5616,10.01500279,9.33097274,7.653424059,14.93855027,0.570315099,0.670413301,0.624623713,0.512327095,N,Y,E,N,N,Y,N,N
231,16.5116,13.4837,4.4326,7.5256,3.622667581,6.577163415,4.105663391,7.733861687,0.570545584,0.468416391,0.850437166,0.530868479,Y,Y,L,N,N,Y,Y,N
232,11.8854,10.0934,3.8697,8.9251,4.606781549,5.817290412,5.326006375,6.857839241,0.57884607,0.671754089,0.848268705,0.776630392,Y,Y,L,N,N,N,Y,N
233,11.7764,6.9317,9.4658,1.6398,7.005235812,6.241146259,5.400037714,10.98991243,0.517685428,0.63742417,0.567897724,0.491363125,Y,N,E,N,N,Y,N,N
234,15.152,10.969,6.992,18.991,5.221201764,7.229376818,5.213043597,8.580033867,0.602379399,0.608529272,0.842581385,0.607578441,Y,Y,L,Y,N,N,Y,N
235,14.963,18.873,6.897,10.966,5.879859323,8.49514204,5.632298778,10.65239308,0.606520091,0.551975437,0.797486722,0.528735537,Y,Y,L,Y,N,Y,Y,N
236,15.192,11.211,6.986,18.972,5.136052892,7.114303639,5.119784555,8.417237617,0.616016427,0.610182714,0.845206464,0.608249973,Y,Y,L,Y,N,Y,Y,N
237,15.149,19.093,6.924,11.036,5.82959374,8.502927673,5.568773235,10.87836792,0.596006755,0.535888636,0.781636339,0.511912566,Y,Y,L,Y,N,Y,Y,N
238,6.746,19.028,14.922,10.916,4.643142393,2.922221757,2.226782211,9.335535912,0.608025942,0.497362169,0.313021318,0.238527518,Y,N,N,Y,Y,Y,N,Y
239,19.039,6.704,10.86,15.151,3.18751047,3.208961352,1.511003636,8.908913816,0.600690794,0.3577889,0.360196699,0.16960582,Y,N,N,Y,Y,Y,N,Y
240,16.917,12.486,4.445,6.609,7.286051445,9.571186247,7.661470939,12.554046,0.537008861,0.580374761,0.762398532,0.610279024,Y,Y,L,N,N,N,Y,N
241,15.584,14.753,5.299,3.532,3.936577527,5.90958931,5.097998164,7.092477022,0.511073254,0.555035641,0.83321938,0.718789521,Y,Y,L,N,N,N,Y,N
242,13.379,15.523,2.553,4.596,6.786099122,8.078859469,6.827228655,11.55007805,0.524544302,0.587537079,0.699463626,0.591098054,Y,Y,L,N,N,N,Y,N
243,13.806,14.727,1.018,2.345,5.130397538,7.34139053,6.047450831,9.007713053,0.509143366,0.569556058,0.815011589,0.671363619,Y,Y,L,N,N,N,Y,N
244,1.6238,4.7064,12.7883,16.9577,3.617064004,2.5370379,2.278960087,6.970821263,0.595114113,0.51888635,0.363951076,0.326928493,N,N,N,Y,Y,Y,N,Y
245,16.9972,13.9344,2.9477,6.0303,3.64198212,6.080878126,4.385025881,7.12569484,0.57453379,0.511105542,0.853373357,0.615382216,Y,Y,L,N,N,N,Y,N
246,11.2573,12.1759,4.6121,1.7269,4.308560669,4.549856176,4.292531339,5.156129067,0.573416415,0.835619243,0.882417045,0.832510452,Y,Y,L,N,N,N,Y,N
247,11.9218,17.9414,3.889,5.9609,7.539106743,8.329981983,7.3639028,10.28039249,0.598515681,0.733348143,0.810278595,0.716305609,Y,Y,L,N,N,N,Y,N
248,14.2217,16.275,6.9732,4.1035,3.099479788,4.140980432,3.159217141,4.895820732,0.562074053,0.633086863,0.845819457,0.645288566,Y,Y,L,N,N,N,Y,N
249,7.0227,3.9551,12.0199,17.9572,6.878870938,4.205635859,4.647573041,11.43710712,0.57540986,0.601451999,0.367718499,0.406359142,N,N,E,Y,Y,Y,N,Y
250,4.8247,18.1113,13.0144,1.8804,6.6606782,6.195182297,3.67988491,11.61470074,0.598763553,0.573469635,0.53339147,0.316829937,Y,N,N,N,Y,Y,N,N
251,6.9402,11.9125,3.8891,15.957,7.923399465,7.071627352,6.399864936,11.31167903,0.600351205,0.700461836,0.625161599,0.565774976,Y,Y,E,N,Y,Y,Y,N
252,5.0701,5.956,20.351,21.9204,6.191704209,2.71057212,3.774381232,8.809472402,0.511831846,0.702846201,0.307688361,0.428445775,Y,Y,E,N,Y,Y,Y,N
253,4.5349,5.7907,12.8372,12.1395,5.651848091,2.500132691,3.075459492,9.656857952,0.504398778,0.585267809,0.258897118,0.318474136,Y,N,E,Y,Y,Y,N,Y
254,6.4542,5.2945,19.5829,18.2194,5.754473234,2.152299822,3.401682633,8.662711972,0.560750284,0.6642808,0.24845566,0.392681027,Y,Y,E,N,Y,Y,Y,N
255,15.0937,12,2.9531,21,7.26063265,7.753724204,7.886595493,10.80939485,0.5,0.671696497,0.71731344,0.729605644,Y,Y,L,N,N,N,Y,N
256,15,12,2.9531,18.0469,7.42733217,7.791885239,6.18193249,10.83307663,0.5,0.685616139,0.719267989,0.570653444,Y,Y,L,N,N,N,Y,N
257,12.0858,15.076,2.9789,21.027,6.279783482,6.543274427,5.903040633,8.785582186,0.500471277,0.714782851,0.744774141,0.671900906,Y,Y,L,N,N,N,Y,N
258,12.0451,15.0007,3.0502,6.0475,6.10088655,6.727887902,6.644246332,8.877344015,0.500755306,0.687242326,0.757871712,0.748449798,Y,Y,L,N,N,N,Y,N
259,15.0285,11.9772,5.9658,3.0057,6.263162538,7.606270203,6.845528715,10.10543548,0.500062508,0.619781557,0.752690987,0.677410561,Y,Y,L,N,N,N,Y,N
260,15.0285,12.0683,6.0114,3.0057,6.167605999,7.568914446,7.160245731,10.50494444,0.5,0.587114576,0.720509708,0.681607197,Y,Y,L,N,N,N,Y,N
261,15.094,17.537,8.017,5.533,4.773675351,7.613387482,5.733269853,9.856973973,0.558997531,0.484294203,0.772385877,0.581646037,Y,Y,L,Y,N,N,Y,N
262,15.179,12.923,8.821,2.462,5.421357874,6.638517676,5.728821152,10.71813883,0.506500084,0.5058115,0.619372242,0.534497756,Y,Y,L,N,N,N,Y,N
263,14.949,20.059,7.718,2.917,4.559846039,7.911746707,5.78989591,10.28267722,0.557284168,0.443449302,0.769424785,0.563072805,N,Y,L,N,N,N,N,N
264,21.18,19.927,3.016,7.755,0.751457292,1.960824319,1.080155311,3.906764094,0.550964187,0.192347752,0.501904971,0.276483372,N,Y,N,N,Y,Y,N,N
265,5.538,3.179,8.205,9.128,2.133586245,1.968818607,1.608686752,5.654589292,0.536696632,0.377319401,0.348180656,0.284492236,N,Y,N,Y,Y,Y,N,Y
266,6.154,7.077,21.744,19.282,7.053458186,4.392157872,5.580294141,9.244935281,0.529427336,0.762953766,0.475088006,0.603605539,Y,Y,E,N,Y,N,Y,N
267,16.832,9.761,21.692,7.25,8.881626632,9.566405435,7.818052962,15.17395608,0.507764566,0.585320439,0.630449,0.51522839,Y,Y,L,N,N,N,Y,N
268,12.9012,9.7708,3.0356,17.5494,6.859449154,6.859091642,6.376493935,8.866059784,0.559735432,0.77367504,0.773634716,0.719202677,Y,Y,E,N,N,N,Y,N
269,10.3055,15.1236,2.9321,5.39,7.554285244,7.84830884,6.869342702,11.08823858,0.556963435,0.681288123,0.707804832,0.619516135,Y,Y,L,N,N,N,Y,N
270,15.1502,10.5784,2.1003,20.1956,7.232106105,8.306109237,7.817770687,10.30129641,0.53613793,0.702057859,0.806316886,0.758911343,Y,Y,L,N,N,N,Y,N
271,19.8389,15.0398,3.0934,5.5397,3.281988011,4.674954933,3.473920198,7.0236806,0.559620577,0.467274667,0.665599021,0.494601107,N,Y,L,N,Y,Y,N,N
272,20.6476,18.0766,10.4625,8.0815,2.693455256,5.687596392,2.273751005,9.132144893,0.540864572,0.294942238,0.622810573,0.248983238,N,N,L,Y,Y,Y,N,Y
273,9.9765,6.4941,21.7412,19.2941,9.426984898,6.998890763,7.817699771,11.91172256,0.540255811,0.791404001,0.587563279,0.656303044,Y,Y,E,N,N,N,Y,N
274,9.7092,12.0613,19.1151,21.2803,8.782892381,8.056589637,7.434683402,12.57074202,0.516295579,0.698677323,0.640900086,0.59142757,Y,Y,E,N,N,N,Y,N
275,14.3607,9.5902,4.7705,19.2049,8.246332766,10.32818277,7.240117804,15.72335306,0.5,0.524464008,0.656868972,0.460469073,Y,Y,L,Y,N,Y,Y,N
276,14.4098,19.2049,4.7705,9.5902,7.251604929,10.24805746,6.490512528,15.20128496,0.5,0.477038944,0.674157316,0.426971308,Y,Y,L,Y,N,Y,Y,N
277,19.2049,9.6148,4.8197,14.4098,7.862738783,10.50101591,6.769661173,17.08097075,0.500513026,0.460321541,0.614778637,0.39632766,Y,Y,L,Y,Y,Y,Y,N
278,14.3559,19.1853,4.7617,9.5665,6.338231587,9.325298846,5.469468199,14.11393986,0.501305483,0.449075995,0.660715501,0.387522425,Y,Y,L,Y,N,Y,Y,N
279,18.993,14.4098,4.7705,9.6148,6.059726603,8.989113246,5.32484099,13.84780404,0.5,0.437594769,0.64913637,0.384526021,Y,Y,L,Y,Y,Y,Y,N
280,18.997,9.6148,4.7951,14.3852,2.475568697,5.266330066,2.134170321,8.041475881,0.5,0.307850043,0.65489596,0.265395352,Y,Y,L,Y,Y,Y,Y,N
281,16.5036,15.9225,1.8015,2.9637,5.338624044,6.399540403,6.364853819,7.316170221,0.511138561,0.729702,0.874711797,0.869970712,Y,Y,L,N,N,N,Y,N
282,12.2045,19.3263,5.1633,1.7214,6.196879678,7.627754424,6.488814754,12.3786037,0.510353803,0.500612171,0.616204752,0.524196017,Y,Y,L,N,N,N,Y,N
283,21.1875,22.8125,16.6875,10.1875,5.071612903,4.044272615,4.085823079,11.92592875,0.506596306,0.425259366,0.339115946,0.342599991,N,N,N,Y,Y,Y,N,Y
284,0.7432,7.8463,13.6016,14.7261,4.836957335,4.472811136,4.227133482,11.42706202,0.511914817,0.423289672,0.391422671,0.369923036,N,N,N,Y,Y,Y,N,Y
285,5.1875,17,9.6875,14.75,5.622797556,5.794513732,5.553981893,12.61397917,0.510638298,0.445759223,0.459372388,0.440303715,Y,N,N,Y,Y,Y,N,Y
286,14.106,16.113,4.0882,7.0831,3.768479875,6.336908845,4.657155755,7.483390039,0.522509264,0.503579241,0.846796547,0.622332356,Y,Y,L,N,N,N,Y,N
