data_code,max_hour,sec_max_hour,min_hour,sec_min_hour,cum_early,cum_late,cum_mid,cum_all,threshold,cum_early_percent,cum_late_percent,cum_mid_percent,first_condition_D,second_condition_D,third_condition_D,first_condition_N,second_condition_N,third_condition_N,daytime_peaking,nighttime_peaking
136,19.455,16.272,7.48,9.451,3.698128472,6.980862725,4.432398058,10.98005756,0.5242693,0.336804106,0.635776514,0.403677124,Y,Y,L,Y,Y,Y,Y,N
137,3.582,2.818,8.738,16.664,4.09962614,4.171944092,3.470259074,8.901269907,0.541662905,0.460566434,0.468690887,0.389861122,N,Y,N,Y,Y,Y,N,Y
138,18.725,16.072,4.154,6.75,4.417172954,7.321284428,5.270898461,9.924615495,0.546721946,0.445072452,0.737689478,0.531093468,Y,Y,L,N,Y,Y,Y,N
139,18.574,16.186,5.491,1.863,3.797921731,7.134802134,4.686925898,10.90617161,0.521444401,0.348236014,0.654198594,0.429749876,Y,Y,L,N,Y,Y,Y,N
140,19.624,22.012,10.648,13.608,3.991765647,4.60161759,3.248088313,11.2710572,0.537032893,0.354160712,0.408268498,0.288179561,N,N,N,Y,Y,Y,N,Y
141,12.9712,14.1539,3.7665,2.4809,6.197097406,7.486856482,7.104712381,9.50062565,0.525601156,0.652283085,0.788038257,0.747815212,Y,Y,L,N,N,N,Y,N
142,15.9844,15.0078,4.9855,22.0106,6.085701084,8.434857176,6.979562475,9.918580873,0.523493973,0.613565707,0.850409679,0.703685594,Y,Y,L,N,N,N,Y,N
143,3.9822,5.0236,21.9515,20.9917,2.404279649,1.397066651,1.411531236,4.208071072,0.525175606,0.571349582,0.331996924,0.335434267,N,Y,E,N,Y,Y,N,N
144,21.0102,16.0075,6.0096,3.9955,4.236815176,5.15110282,4.80742144,7.057618609,0.528483033,0.600317956,0.729864152,0.681167644,N,Y,L,N,Y,N,N,N
145,13.355,5.101,17.523,5.101,9.547408797,7.563461968,7.247416445,11.92184576,0.580383053,0.800833108,0.634420384,0.607910603,Y,N,E,Y,N,N,N,N
146,16.134,20.056,5.918,20.056,7.094848183,8.807693059,5.939926812,11.6946824,0.54995417,0.606673011,0.753136576,0.507916898,N,Y,L,N,N,Y,N,N
147,9.8261,7.792,4.6578,17.8995,3.883537916,3.801202466,3.850111647,5.226314286,0.515681,0.743073934,0.727319916,0.736678171,Y,Y,E,Y,N,N,Y,N
148,9.776,19.8677,1.633,3.6191,4.375995556,4.938870543,4.249380821,6.880735124,0.504028024,0.635977912,0.717782396,0.617576573,N,Y,L,N,N,N,N,N
149,14.117,16.1345,8.0486,4.952,6.273299731,8.497528987,5.745010434,11.71508858,0.52068192,0.535488886,0.725349102,0.49039411,Y,Y,L,Y,N,Y,Y,N
150,16.1318,18.2668,5.9776,3.9607,3.825848203,6.852408212,3.635770242,8.670261333,0.503560593,0.441261002,0.790334679,0.419338023,Y,Y,L,N,N,Y,Y,N
151,16.5522,14.5423,5.3006,7.3104,4.87873045,7.770470204,5.311062534,9.791014352,0.529107528,0.498286518,0.793632807,0.542442524,Y,Y,L,Y,N,N,Y,N
152,16.4917,18.515,12.4448,4.3576,3.73753886,6.3706069,3.9299102,9.361725807,0.507493995,0.399236096,0.680494925,0.4197848,Y,N,L,N,N,Y,N,N
153,12.0226,2.9774,21.9474,23.0075,5.092058584,5.491960366,5.213935144,8.260033679,0.522593457,0.61646947,0.664883532,0.631224441,N,Y,L,N,N,N,N,N
154,12.751,14.1891,3.739,20.229,6.187123524,7.023325933,6.475604979,8.471652047,0.534138101,0.730332583,0.829038527,0.764385145,Y,Y,L,N,N,N,Y,N
155,15.0797,17.0326,3.0031,4.9945,5.328281051,8.573478656,6.21894352,10.46178497,0.544210283,0.509308982,0.819504385,0.594443829,Y,Y,L,N,N,N,Y,N
156,14.9799,13.0194,6.9907,9.0097,4.579894874,6.24791255,4.941103277,8.263752447,0.544553557,0.554214917,0.756062405,0.597924891,Y,Y,L,Y,N,N,Y,N
157,13.4911,9.5049,5.5187,17.5009,6.591887949,7.745552533,6.857207012,8.621198507,0.599946005,0.764613869,0.898431062,0.795389064,Y,Y,L,Y,N,N,Y,N
158,13.9965,11.9871,4.9844,1.9864,6.832776308,8.312902347,7.658792145,10.18764765,0.521523718,0.670692249,0.815978589,0.751772383,Y,Y,L,N,N,N,Y,N
159,12,16.9802,2.9665,4.0122,6.119349609,7.678687268,7.05242531,9.969391307,0.522406903,0.613813765,0.770226289,0.707407814,Y,Y,L,N,N,N,Y,N
160,13.9932,15,1.9932,2.9795,4.877144617,5.771217418,5.336315665,7.553343787,0.521893429,0.645693451,0.764061266,0.706483885,Y,Y,L,N,N,N,Y,N
161,13.9802,15.9992,2.019,3.9863,5.063047652,7.061225854,6.289999639,8.16452104,0.521893429,0.620127945,0.864867127,0.770406446,Y,Y,L,N,N,N,Y,N
162,12.9939,13.9965,5.0008,6.9973,5.544800361,7.539232433,6.624096787,9.26845907,0.521523718,0.598244036,0.813428896,0.714692349,Y,Y,L,Y,N,N,Y,N
163,12,16.971,4.114,16.971,9.134173388,9.31398017,7.522855516,13.55224705,0.538454635,0.673996966,0.687264639,0.555100235,Y,Y,L,N,N,N,Y,N
164,12.686,18,7.886,18,5.682227114,8.845054755,7.357162125,10.44111103,0.603469952,0.544216712,0.847137314,0.704634028,Y,Y,L,Y,N,N,Y,N
165,9.171,19.179,3.857,14.077,5.672220988,4.755291423,4.05912351,8.431831948,0.51068176,0.672715138,0.563968951,0.481404698,Y,Y,E,N,N,Y,Y,N
166,15.257,10.457,5.486,10.457,8.348082016,8.522564539,6.655949723,11.09158589,0.603439606,0.752649991,0.768381062,0.600089995,Y,Y,L,Y,N,Y,Y,N
167,14.4523,13.9292,0.4578,7.455,5.466539056,6.77548551,6.402366756,8.228668836,0.512570799,0.664328479,0.82339995,0.778056194,Y,Y,L,N,N,N,Y,N
168,16.4473,11.951,3.9657,8.461,5.500059251,6.795083697,6.109120592,10.91821234,0.508379794,0.503750896,0.622362296,0.559534876,Y,Y,L,N,N,N,Y,N
169,14.8617,15.8662,6.8781,2.8771,6.134058733,7.858575012,6.796267367,11.16621096,0.521036863,0.549341111,0.703781707,0.608645797,Y,Y,L,N,N,N,Y,N
170,12.8963,14.8973,4.9106,6.9176,5.862660859,8.335349746,7.258831178,10.87258963,0.521832153,0.539214765,0.766638863,0.667626704,Y,Y,L,Y,N,N,Y,N
171,13.9531,17.9206,6.0005,9.976,5.748691631,8.681094073,7.434016055,9.840239988,0.598999671,0.584202381,0.882203491,0.755471011,Y,Y,L,Y,N,N,Y,N
172,18.0191,14.0108,10.0061,6.0453,3.988763911,6.230684015,3.385449437,8.581592805,0.600429307,0.464804612,0.726052163,0.394501291,Y,N,L,Y,Y,Y,N,Y
173,10.0048,14.0113,17.9951,5.4742,7.189543425,6.522143195,7.170405546,8.721429112,0.599286849,0.824353822,0.74782964,0.822159471,Y,N,E,Y,N,N,N,N
174,7.302,13.758,20.231,1.32,10.94247125,9.701328179,9.505778155,14.34558891,0.543798432,0.762776022,0.676258621,0.662627252,Y,Y,E,N,Y,N,Y,N
175,15.179,13.027,19.699,18.73,8.905801585,7.668160004,8.118928639,13.19868027,0.556792873,0.674749399,0.580979298,0.615131852,Y,Y,E,N,N,N,Y,N
176,13.864,14.71,4.356,3.509,6.951324543,8.524646653,6.891555364,10.92381246,0.550256787,0.636346017,0.780372849,0.630874559,Y,Y,L,N,N,N,Y,N
177,12.587,15.067,1.011,3.486,7.434684791,9.101657883,7.061251387,10.89455597,0.523925952,0.682422011,0.835431743,0.648144946,Y,Y,L,N,N,N,Y,N
178,16.373,13.592,3.118,5.578,6.425916762,8.918232576,6.401989141,10.05360211,0.547021015,0.639165614,0.887068384,0.636785609,Y,Y,L,N,N,N,Y,N
179,14.397,15.211,21.913,20.39,10.52429027,10.00311978,8.154408631,15.31287895,0.525049223,0.68728358,0.653248799,0.53251963,Y,Y,E,N,N,N,Y,N
180,13.532,15.46,2.011,3.627,7.40361434,8.838469931,6.835678942,11.51552355,0.572628364,0.642924684,0.767526539,0.593605572,Y,Y,L,N,N,N,Y,N
181,13.042,14.978,2.448,4.689,6.406760121,7.732834977,7.104775554,9.114960532,0.563644904,0.702884022,0.848367357,0.779463118,Y,Y,L,N,N,N,Y,N
182,14.218,11.746,2.557,3.804,9.363658387,10.05729436,9.750223566,12.52180317,0.534664053,0.747788338,0.803182594,0.778659705,Y,Y,L,N,N,N,Y,N
183,15.746,17.884,3.378,4.713,8.835013716,10.5212897,9.714666567,15.26999123,0.560381059,0.578586692,0.689017403,0.63619333,Y,Y,L,N,N,N,Y,N
184,15.0053,12.0044,6.0025,3.0055,6.572466091,7.782776847,7.57591996,9.227041601,0.573019382,0.712304807,0.843474776,0.821056227,Y,Y,L,N,N,N,Y,N
185,14.9723,12.0227,17.9915,2.9989,6.545388466,6.631311123,6.588859251,8.021827275,0.573101482,0.81594732,0.826658428,0.821366383,Y,N,L,N,N,N,N,N
186,9.9805,14.0521,6.0065,17.9935,5.431279943,5.726489113,5.865286216,6.778152073,0.6,0.801292135,0.844845181,0.865322311,Y,Y,L,Y,N,N,Y,N
187,10.013,13.9544,5.9739,17.9609,5.544421325,5.39410954,5.18728447,6.236124424,0.601959378,0.889081254,0.864977857,0.831812215,Y,Y,E,Y,N,N,Y,N
188,16.4989,19.4975,7.5086,10.502,3.397470952,6.262648506,3.491718105,8.196864179,0.570939195,0.414484232,0.764029801,0.425982184,Y,Y,L,Y,N,Y,Y,N
189,16.4989,13.5055,7.4958,4.5004,4.619797011,7.540235018,5.095318534,8.964194706,0.571113099,0.515361074,0.841150295,0.568407838,Y,Y,L,Y,N,Y,Y,N
190,16.5116,13.5183,4.5004,7.4958,6.05576712,9.073271637,6.301896631,11.25008186,0.571113099,0.538286494,0.806507166,0.560164513,Y,Y,L,Y,N,Y,Y,N
191,4.4984,19.4888,10.5048,13.508,2.646184711,1.558520403,0.79129487,7.040126476,0.570819697,0.375871757,0.221376762,0.11239782,N,N,N,Y,Y,Y,N,Y
