"x","Curve1"
0.1308,0.1022
0.9155,-0.0699
1.6983,-0.1754
2.2751,-0.3311
2.7694,-0.4802
2.9754,-0.5547
3.8817,-0.5208
4.3761,-0.5953
4.9528,-0.724
5.4472,-0.8189
5.9827,-0.9069
6.5595,-1.0018
6.9715,-1.1034
7.5482,-1.1846
8.0426,-1.2524
8.7429,-1.2727
9.4432,-1.2321
9.8964,-1.1237
10.4731,-0.9679
10.9263,-0.785
11.5031,-0.6156
11.9974,-0.3853
12.4918,-0.1279
13.0273,0.0617
13.4393,0.2785
13.9336,0.4749
14.5104,0.6917
14.9635,0.8678
15.4991,1.0507
15.9935,1.132
16.4878,1.2336
17.0234,1.3217
17.4765,1.3894
18.0533,1.3352
18.7948,1.281
19.248,1.1455
19.6187,0.9897
20.0307,0.8814
20.4427,0.773
20.9782,0.6036
21.4726,0.4343
22.0081,0.3259
22.5025,0.2243
22.9556,0.0753
23.5736,0.0956
