"x","Curve1"
1.0282,11.4468
2.0442,11
2.7215,10.617
3.0601,10.6809
3.427,10.2979
3.9632,10.1064
4.0479,10.2979
4.3583,9.9787
4.7816,9.7872
5.4025,9.6596
6.1926,9.5957
6.8982,9.5957
7.6319,9.6596
8.2245,9.7872
8.9301,9.9787
9.692,10.2979
10.5387,10.7447
11.3571,11.1915
12.373,11.8298
13.2479,12.4043
13.8687,12.5957
14.6589,12.9787
15.7313,13.5532
16.7472,13.8085
17.9607,14.0638
19.0049,14.0638
19.9644,13.9362
20.7828,13.7447
21.6577,13.3617
22.4761,12.9787
23.3227,12.5319
23.9436,12.0213
