"hour","N2O_flux","norm_flux","dataset"
0,37.765,0.117652297826861,"N2O_127"
0.6464,35.378,0.0645039187744923,"N2O_127"
2.9561,35.171,0.0598949055931599,"N2O_127"
5.1699,34.861,0.0529925187032418,"N2O_127"
5.657,33.102,0.013827039543997,"N2O_127"
7.6795,32.481,0,"N2O_127"
8.1539,35.549,0.0683113644460277,"N2O_127"
8.5085,38.156,0.126358211613823,"N2O_127"
8.6167,41.937,0.210545065906662,"N2O_127"
8.8492,44.804,0.274381011756324,"N2O_127"
9.1952,49.888,0.38758015675098,"N2O_127"
9.7823,55.363,0.509485215532597,"N2O_127"
9.8922,58.622,0.582049340933381,"N2O_127"
10.3676,61.359,0.642990737442109,"N2O_127"
10.9592,65.531,0.73588350552191,"N2O_127"
11.3088,69.572,0.825859458496616,"N2O_127"
12.0135,76.089,0.970965443534022,"N2O_127"
12.0212,73.873,0.921624510153189,"N2O_127"
12.8575,77.393,1,"N2O_127"
13.5961,74.134,0.927435874599216,"N2O_127"
14.4563,70.745,0.851977199857499,"N2O_127"
14.9515,67.747,0.785224438902743,"N2O_127"
15.6901,64.488,0.712660313501959,"N2O_127"
16.4264,61.881,0.654613466334165,"N2O_127"
17.4015,60.317,0.61978981118632,"N2O_127"
17.7724,58.231,0.57334342714642,"N2O_127"
17.9008,56.145,0.526897043106519,"N2O_127"
18.515,53.799,0.474661560384752,"N2O_127"
19.3725,51.192,0.416614713216958,"N2O_127"
20.2278,49.236,0.373062878517991,"N2O_127"
21.0821,47.542,0.335344674029213,"N2O_127"
21.4543,45.065,0.280192376202351,"N2O_127"
22.4335,42.328,0.219250979693623,"N2O_127"
23.5316,40.242,0.172804595653723,"N2O_127"
