"hour","N2O_flux","norm_flux","dataset"
0.514,10.698,0.072239077,"N2O_225"
3.342,9.302,0.038890614,"N2O_225"
6.17,7.674,0,"N2O_225"
8.27,11.86,0.099997611,"N2O_225"
9.389,17.209,0.227777645,"N2O_225"
10.14,23.023,0.36666587,"N2O_225"
10.889,28.605,0.500011944,"N2O_225"
11.639,34.186,0.63333413,"N2O_225"
12.141,38.837,0.744439932,"N2O_225"
13.014,44.42,0.877809895,"N2O_225"
14.255,49.535,1,"N2O_225"
15.353,44.419,0.877786006,"N2O_225"
16.079,38.605,0.738897781,"N2O_225"
16.683,33.023,0.605551707,"N2O_225"
17.287,27.209,0.466663482,"N2O_225"
18.26,21.86,0.338883448,"N2O_225"
20.221,17.674,0.238885836,"N2O_225"
22.924,15.349,0.183344879,"N2O_225"
